Module,Feature,Description,User Roles,React Screen,REST Endpoint,PHP Class
"Dashboard","Live Operations Dashboard","Real-time overview cards: active boarders, today's arrivals/departures, open tasks, revenue. Refreshes on load.","All staff","/  (Dashboard)","GET /dashboard","OPB_Dashboard_API"
"Dashboard","Branch-scoped Filtering","Branch managers and below see only their branch data. Super-admins see all branches aggregated.","All staff","/ (Dashboard)","GET /dashboard","OPB_REST_Base::permission_check"
"Dashboard","Occupancy KPI Card","Shows current live kennel occupancy count with capacity. Colour-coded by fill percentage.","All staff","/ (Dashboard)","GET /dashboard","OPB_Dashboard_API"
"Dashboard","Revenue at a Glance","Today's payments received and monthly total displayed on the dashboard header.","Super Admin, Branch Manager","/ (Dashboard)","GET /dashboard","OPB_Dashboard_API"
"Dashboard","Quick-Access Navigation","Sidebar with role-filtered navigation links to all modules. Collapses on mobile.","All staff","(Global)","—","OPB_Roles"
"Client Management","Client List with Search","Paginated client list with name/phone/email search, status filter, and branch filter.","Reception, Branch Manager, Super Admin","/clients","GET /clients","OPB_Clients_API"
"Client Management","Client Profile","Full client record: personal details, linked pets, booking history, invoice history, wallet balance, onboarding status.","Reception, Branch Manager, Super Admin","/clients/:id","GET /clients/:id","OPB_Clients_API"
"Client Management","Client Create / Edit","Form to create or edit client with name, phone, email, home branch, source, notes.","Reception, Branch Manager, Super Admin","/clients/new, /clients/:id/edit","POST /clients, PUT /clients/:id","OPB_Clients_API"
"Client Management","Pet Sub-listing on Client","View all pets linked to a client from the client profile, with direct links to pet profiles.","All staff","/clients/:id","GET /clients/:id/pets","OPB_Clients_API"
"Client Management","Booking History on Client","Full booking history for a client filterable by status and date range.","Reception, Branch Manager, Super Admin","/clients/:id","GET /clients/:id/bookings","OPB_Clients_API"
"Client Management","WhatsApp Quick-Message","One-click WhatsApp deep-link from client profile opens a pre-populated message in WhatsApp.","Reception, Branch Manager, Super Admin","/clients/:id","—","OPB_Notifications"
"Client Management","Client Archiving & Restoration","Super admins can archive/restore clients. Archived clients are excluded from all operational views.","Super Admin","/admin/data-management","POST /admin/clients/:id/archive, /restore","OPB_Data_Management_API"
"Client Management","Portal Preview (Staff)","Staff can preview the client's My Pets portal access link from the client profile.","Reception, Branch Manager, Super Admin","/clients/:id","GET /clients/:id/portal-preview","OPB_Clients_API"
"Pet Management","Pet Profile","Full pet record: name, type, breed, size, DOB, vaccination status, microchip, medical history, preferences/allergies, special care flags, medication details.","All staff","/pets/:id","GET /pets/:id","OPB_Pets_API"
"Pet Management","Pet Create / Edit","Form to create or update a pet linked to a client. Includes vaccination status and medical fields.","Reception, Branch Manager, Super Admin","/clients/:clientId/pets/new, /pets/:id/edit","POST /clients/:id/pets, PUT /pets/:id","OPB_Pets_API, OPB_Clients_API"
"Pet Management","Vaccination Status Tracking","Pets flagged with vaccination status (vaccinated / partial / unvaccinated). SAL briefs highlight unvaccinated pets currently boarded.","All staff","/pets/:id","PUT /pets/:id","OPB_Pets_API, OPB_SAL_Snapshot"
"Pet Management","Medical History & Allergies","Long-form fields for major illness history, ongoing medication, dietary restrictions, and grooming preferences.","All staff","/pets/:id","GET/PUT /pets/:id","OPB_Pets_API"
"Pet Management","Document Uploads","Upload and manage documents per pet (vaccination records, health certificates, vet reports). File storage on server.","Reception, Branch Manager, Super Admin","/pets/:id","GET/POST/DELETE /pets/:id/documents","OPB_Pets_API"
